материал_валка,номер_валка
Материал валка 1,1
Материал валка 1,2
Материал валка 2,3
Материал валка 3,4
Материал валка 4,5
Материал валка 5,6
Материал валка 6,7
Материал валка 2,8
Материал валка 2,9
Материал валка 7,10
Материал валка 2,11
Материал валка 8,12
Материал валка 2,13
Материал валка 9,14
Материал валка 6,15
Материал валка 5,16
Материал валка 2,17
Материал валка 6,18
Материал валка 2,19
Материал валка 2,20
Материал валка 2,21
Материал валка 10,22
Материал валка 2,23
Материал валка 6,24
Материал валка 6,25
Материал валка 2,26
Материал валка 6,27
Материал валка 1,28
Материал валка 2,29
Материал валка 6,30
Материал валка 2,31
Материал валка 6,32
Материал валка 11,33
Материал валка 2,34
Материал валка 6,35
Материал валка 7,36
Материал валка 4,37
Материал валка 2,38
Материал валка 2,39
Материал валка 6,40
Материал валка 6,41
Материал валка 2,42
Материал валка 2,43
Материал валка 2,44
Материал валка 2,45
Материал валка 1,46
Материал валка 1,47
Материал валка 12,48
Материал валка 13,49
Материал валка 14,50
Материал валка 6,51
Материал валка 2,52
Материал валка 6,53
Материал валка 6,54
Материал валка 2,55
Материал валка 2,56
Материал валка 1,57
Материал валка 2,58
Материал валка 6,59
Материал валка 12,60
Материал валка 6,61
Материал валка 1,62
Материал валка 1,63
Материал валка 2,64
Материал валка 1,65
Материал валка 15,66
Материал валка 6,67
Материал валка 2,68
Материал валка 16,69
Материал валка 5,70
Материал валка 1,71
Материал валка 7,72
Материал валка 5,73
Материал валка 4,74
Материал валка 1,75
Материал валка 6,76
Материал валка 6,77
Материал валка 2,78
Материал валка 1,79
Материал валка 4,80
Материал валка 6,81
Материал валка 15,82
Материал валка 4,83
Материал валка 7,84
Материал валка 2,85
Материал валка 1,86
Материал валка 6,87
Материал валка 6,88
Материал валка 5,89
Материал валка 1,90
Материал валка 2,91
Материал валка 2,92
Материал валка 2,93
Материал валка 6,94
Материал валка 1,95
Материал валка 1,96
Материал валка 2,97
Материал валка 2,98
Материал валка 1,99
Материал валка 2,100
Материал валка 2,101
Материал валка 2,102
Материал валка 1,103
Материал валка 9,104
Материал валка 1,105
Материал валка 1,106
Материал валка 2,107
Материал валка 6,108
Материал валка 5,109
Материал валка 6,110
Материал валка 14,111
Материал валка 1,112
Материал валка 6,113
Материал валка 1,114
Материал валка 1,115
Материал валка 6,116
Материал валка 2,117
Материал валка 2,118
Материал валка 5,119
Материал валка 2,120
Материал валка 4,121
Материал валка 8,122
Материал валка 17,123
Материал валка 2,124
Материал валка 6,125
Материал валка 2,126
Материал валка 2,127
Материал валка 2,128
Материал валка 6,129
Материал валка 6,130
Материал валка 1,131
Материал валка 1,132
Материал валка 2,133
Материал валка 2,134
Материал валка 1,135
Материал валка 1,136
Материал валка 6,137
Материал валка 2,138
Материал валка 2,139
Материал валка 2,140
Материал валка 6,141
Материал валка 6,142
Материал валка 2,143
Материал валка 7,144
Материал валка 11,145
Материал валка 2,146
Материал валка 2,147
Материал валка 6,148
Материал валка 18,149
Материал валка 2,150
Материал валка 2,151
Материал валка 3,152
Материал валка 1,153
Материал валка 2,154
Материал валка 7,155
Материал валка 9,156
Материал валка 2,157
Материал валка 1,158
Материал валка 2,159
Материал валка 2,160
Материал валка 6,161
Материал валка 6,162
Материал валка 16,163
Материал валка 6,164
Материал валка 17,165
Материал валка 2,166
Материал валка 3,167
Материал валка 1,168
Материал валка 6,169
Материал валка 18,170
Материал валка 15,171
Материал валка 9,172
Материал валка 5,173
Материал валка 4,174
Материал валка 1,175
Материал валка 5,176
Материал валка 2,177
Материал валка 1,178
Материал валка 1,179
Материал валка 2,180
Материал валка 14,181
Материал валка 7,182
Материал валка 2,183
Материал валка 6,184
Материал валка 13,185
Материал валка 6,186
Материал валка 1,187
Материал валка 8,188
Материал валка 1,189
Материал валка 3,190
Материал валка 6,191
Материал валка 19,192
Материал валка 1,193
Материал валка 3,194
Материал валка 14,195
Материал валка 1,196
Материал валка 2,197
Материал валка 2,198
Материал валка 6,199
Материал валка 6,200
Материал валка 11,201
Материал валка 6,202
Материал валка 6,203
Материал валка 2,204
Материал валка 2,205
Материал валка 1,206
Материал валка 2,207
Материал валка 8,208
Материал валка 6,209
Материал валка 14,210
Материал валка 2,211
Материал валка 6,212
Материал валка 2,213
Материал валка 2,214
Материал валка 14,215
Материал валка 2,216
Материал валка 16,217
Материал валка 6,218
Материал валка 2,219
Материал валка 3,220
Материал валка 7,221
Материал валка 6,222
Материал валка 2,223
Материал валка 16,224
Материал валка 9,225
Материал валка 2,226
Материал валка 2,227
Материал валка 1,228
Материал валка 6,229
Материал валка 2,230
Материал валка 1,231
Материал валка 2,232
Материал валка 2,233
Материал валка 9,234
Материал валка 9,235
Материал валка 3,236
Материал валка 2,237
Материал валка 6,238
Материал валка 3,239
Материал валка 2,240
Материал валка 2,241
Материал валка 20,242
Материал валка 19,243
Материал валка 2,244
Материал валка 1,245
Материал валка 2,246
Материал валка 6,247
Материал валка 6,248
Материал валка 6,249
Материал валка 1,250
Материал валка 2,251
Материал валка 6,252
Материал валка 2,253
Материал валка 2,254
Материал валка 7,255
Материал валка 17,256
Материал валка 14,257
Материал валка 1,258
Материал валка 21,259
Материал валка 1,260
Материал валка 2,261
Материал валка 2,262
Материал валка 2,263
Материал валка 2,264
Материал валка 7,265
Материал валка 2,266
Материал валка 2,267
Материал валка 2,268
Материал валка 6,269
Материал валка 2,270
Материал валка 3,271
Материал валка 1,272
Материал валка 15,273
Материал валка 16,274
Материал валка 19,275
Материал валка 2,276
Материал валка 5,277
Материал валка 16,278
Материал валка 2,279
Материал валка 2,280
Материал валка 6,281
Материал валка 7,282
Материал валка 6,283
Материал валка 1,284
Материал валка 2,285
Материал валка 1,286
Материал валка 2,287
Материал валка 2,288
Материал валка 22,289
Материал валка 3,290
Материал валка 2,291
Материал валка 12,292
Материал валка 19,293
Материал валка 4,294
Материал валка 6,295
Материал валка 3,296
Материал валка 12,297
Материал валка 2,298
Материал валка 2,299
Материал валка 2,300
Материал валка 2,301
Материал валка 1,302
Материал валка 6,303
Материал валка 6,304
Материал валка 20,305
Материал валка 6,306
Материал валка 5,307
Материал валка 6,308
Материал валка 18,309
Материал валка 6,310
Материал валка 3,311
Материал валка 2,312
Материал валка 2,313
Материал валка 1,314
Материал валка 6,315
Материал валка 2,316
Материал валка 5,317
Материал валка 2,318
Материал валка 2,319
Материал валка 6,320
Материал валка 5,321
Материал валка 2,322
Материал валка 13,323
Материал валка 6,324
Материал валка 6,325
Материал валка 2,326
Материал валка 6,327
Материал валка 1,328
Материал валка 15,329
Материал валка 2,330
Материал валка 1,331
Материал валка 2,332
Материал валка 2,333
Материал валка 3,334
Материал валка 1,335
Материал валка 1,336
Материал валка 6,337
Материал валка 3,338
Материал валка 5,339
Материал валка 2,340
Материал валка 6,341
Материал валка 5,342
Материал валка 1,343
Материал валка 6,344
Материал валка 4,345
Материал валка 1,346
Материал валка 6,347
Материал валка 15,348
Материал валка 2,349
Материал валка 5,350
Материал валка 2,351
Материал валка 2,352
Материал валка 2,353
Материал валка 2,354
Материал валка 1,355
Материал валка 2,356
Материал валка 2,357
Материал валка 6,358
Материал валка 6,359
Материал валка 1,360
Материал валка 6,361
Материал валка 12,362
Материал валка 6,363
Материал валка 2,364
Материал валка 2,365
Материал валка 2,366
Материал валка 2,367
Материал валка 1,368
Материал валка 2,369
Материал валка 6,370
Материал валка 2,371
Материал валка 7,372
Материал валка 7,373
Материал валка 16,374
Материал валка 2,375
Материал валка 2,376
Материал валка 6,377
Материал валка 2,378
Материал валка 2,379
Материал валка 6,380
Материал валка 1,381
Материал валка 6,382
Материал валка 11,383
Материал валка 6,384
Материал валка 2,385
Материал валка 6,386
Материал валка 2,387
Материал валка 1,388
Материал валка 18,389
Материал валка 7,390
Материал валка 16,391
Материал валка 1,392
Материал валка 1,393
Материал валка 1,394
Материал валка 2,395
Материал валка 2,396
Материал валка 1,397
Материал валка 2,398
Материал валка 2,399
Материал валка 14,400
Материал валка 2,401
Материал валка 2,402
Материал валка 2,403
Материал валка 2,404
Материал валка 2,405
Материал валка 2,406
Материал валка 2,407
Материал валка 2,408
Материал валка 1,409
Материал валка 2,410
Материал валка 2,411
Материал валка 2,412
Материал валка 1,413
Материал валка 2,414
Материал валка 2,415
Материал валка 6,416
Материал валка 4,417
Материал валка 1,418
Материал валка 6,419
Материал валка 6,420
Материал валка 6,421
Материал валка 2,422
Материал валка 2,423
Материал валка 6,424
Материал валка 6,425
Материал валка 3,426
Материал валка 2,427
Материал валка 2,428
Материал валка 1,429
Материал валка 15,430
Материал валка 10,431
Материал валка 5,432
Материал валка 1,433
Материал валка 2,434
Материал валка 1,435
Материал валка 2,436
Материал валка 15,437
Материал валка 2,438
Материал валка 1,439
Материал валка 2,440
Материал валка 21,441
Материал валка 6,442
Материал валка 2,443
Материал валка 6,444
Материал валка 5,445
Материал валка 2,446
Материал валка 2,447
Материал валка 3,448
Материал валка 2,449
Материал валка 6,450
Материал валка 1,451
Материал валка 6,452
Материал валка 2,453
Материал валка 6,454
Материал валка 6,455
