дата_завалки,дата_вывалки,номер_клетки,положение_в_клети,номер_валка,износ
2018-01-01 00:14:45,2018-01-01 03:32:26,8,верх,222,0.6848049118790724
2018-01-01 00:14:45,2018-01-01 03:32:26,8,низ,260,0.6149135289000223
2018-01-01 00:14:45,2018-01-01 03:32:26,9,верх,410,1.1354121506684753
2018-01-01 00:14:45,2018-01-01 03:32:26,9,низ,57,0.5160865456882622
2018-01-01 00:14:45,2018-01-01 03:32:26,10,верх,273,0.6576828713778099
2018-01-01 00:14:45,2018-01-01 03:32:26,10,низ,63,0.6028038457966103
2018-01-01 00:14:45,2018-01-01 03:32:26,11,верх,42,0.48582240485274564
2018-01-01 00:14:45,2018-01-01 03:32:26,11,низ,378,0.9169114138982419
2018-01-01 00:14:45,2018-01-01 03:32:26,12,верх,234,0.8828273687169523
2018-01-01 00:14:45,2018-01-01 03:32:26,12,низ,135,0.28594662955638717
2018-01-01 03:46:01,2018-01-01 07:23:16,12,низ,368,0.4810298323504483
2018-01-01 03:46:01,2018-01-01 07:23:16,12,верх,127,0.3857006495961608
2018-01-01 03:46:01,2018-01-01 07:23:16,11,низ,312,0.7767506130729818
2018-01-01 03:46:01,2018-01-01 07:23:16,11,верх,27,0.5601019629272488
2018-01-01 03:46:01,2018-01-01 07:23:16,10,низ,496,0.7288912792725895
2018-01-01 03:46:01,2018-01-01 07:23:16,9,верх,320,0.7252172868777775
2018-01-01 03:46:01,2018-01-01 07:23:16,9,низ,284,0.7368133163745724
2018-01-01 03:46:01,2018-01-01 07:23:16,8,низ,65,0.9254190156818424
2018-01-01 03:46:01,2018-01-01 07:23:16,8,верх,199,0.9115254760547982
2018-01-01 03:46:01,2018-01-01 07:23:16,10,верх,388,1.0617804406317157
2018-01-01 07:35:32,2018-01-01 10:30:37,11,верх,26,0.44419706254825886
2018-01-01 07:35:32,2018-01-01 10:30:37,12,низ,454,0.47352507134513533
2018-01-01 07:35:32,2018-01-01 10:30:37,12,верх,305,0.8154976525637444
2018-01-01 07:35:32,2018-01-01 10:30:37,11,низ,401,0.451548960773901
2018-01-01 07:35:32,2018-01-01 10:30:37,10,низ,368,0.4635359891307528
2018-01-01 07:35:32,2018-01-01 10:30:37,8,низ,141,0.6159847479959117
2018-01-01 07:35:32,2018-01-01 10:30:37,9,низ,357,0.9572860104079393
2018-01-01 07:35:32,2018-01-01 10:30:37,9,верх,362,0.6614655775060287
2018-01-01 07:35:32,2018-01-01 10:30:37,8,верх,386,0.48966410333321486
2018-01-01 07:35:32,2018-01-01 10:30:37,10,верх,62,0.5125261433170728
2018-01-01 10:41:40,2018-01-01 13:56:08,12,низ,47,0.5576388484289272
2018-01-01 10:41:40,2018-01-01 13:56:08,12,верх,329,0.3037200552845742
2018-01-01 10:41:40,2018-01-01 13:56:08,11,низ,109,0.5376962235736699
2018-01-01 10:41:40,2018-01-01 13:56:08,11,верх,72,0.29479618986721956
2018-01-01 10:41:40,2018-01-01 13:56:08,10,низ,20,0.3289543607623878
2018-01-01 10:41:40,2018-01-01 13:56:08,10,верх,49,0.30656752442838003
2018-01-01 10:41:40,2018-01-01 13:56:08,9,верх,128,0.33216460616885246
2018-01-01 10:41:40,2018-01-01 13:56:08,8,низ,479,0.4147229453361747
2018-01-01 10:41:40,2018-01-01 13:56:08,8,верх,102,0.44293475162470713
2018-01-01 10:41:40,2018-01-01 13:56:08,9,низ,81,0.7356386196475908
2018-01-01 14:08:49,2018-01-01 17:46:18,11,верх,41,0.6560193345991655
2018-01-01 14:08:49,2018-01-01 17:46:18,12,низ,330,0.37938746317309496
2018-01-01 14:08:49,2018-01-01 17:46:18,12,верх,153,0.5353852171647837
2018-01-01 14:08:49,2018-01-01 17:46:18,10,низ,335,0.5431288495022618
2018-01-01 14:08:49,2018-01-01 17:46:18,11,низ,113,0.9138920380366077
2018-01-01 14:08:49,2018-01-01 17:46:18,9,низ,207,0.9347614745087838
2018-01-01 14:08:49,2018-01-01 17:46:18,9,верх,119,1.030374808488914
2018-01-01 14:08:49,2018-01-01 17:46:18,10,верх,5,0.88537937354005
2018-01-01 14:08:49,2018-01-01 17:46:18,8,низ,151,0.5158019662422055
2018-01-01 14:08:49,2018-01-01 17:46:18,8,верх,286,1.2719171634544302
2018-01-01 17:59:11,2018-01-01 21:22:45,12,низ,383,0.7582812990425871
2018-01-01 17:59:11,2018-01-01 21:22:45,12,верх,325,0.6195503591149748
2018-01-01 17:59:11,2018-01-01 21:22:45,11,низ,235,1.1059996616498626
2018-01-01 17:59:11,2018-01-01 21:22:45,11,верх,321,1.2063987168454062
2018-01-01 17:59:11,2018-01-01 21:22:45,10,низ,38,0.8308239163621963
2018-01-01 17:59:11,2018-01-01 21:22:45,10,верх,139,0.8249369036146701
2018-01-01 17:59:11,2018-01-01 21:22:45,9,низ,474,1.3073039093101733
2018-01-01 17:59:11,2018-01-01 21:22:45,9,верх,282,1.1454354993078957
2018-01-01 17:59:11,2018-01-01 21:22:45,8,низ,296,1.2302615496233587
2018-01-01 17:59:11,2018-01-01 21:22:45,8,верх,432,1.5508258656119058
2018-01-01 21:35:00,2018-01-02 00:55:07,12,верх,367,0.4891921146540487
2018-01-01 21:35:00,2018-01-02 00:55:07,11,низ,195,0.5002287787322786
2018-01-01 21:35:00,2018-01-02 00:55:07,11,верх,290,0.6876118386588641
2018-01-01 21:35:00,2018-01-02 00:55:07,10,низ,378,0.6441802350553418
2018-01-01 21:35:00,2018-01-02 00:55:07,12,низ,455,1.1147114401535068
2018-01-01 21:35:00,2018-01-02 00:55:07,9,низ,487,0.8608662140667904
2018-01-01 21:35:00,2018-01-02 00:55:07,9,верх,481,0.7484602413010373
2018-01-01 21:35:00,2018-01-02 00:55:07,8,низ,88,1.1573219357035534
2018-01-01 21:35:00,2018-01-02 00:55:07,8,верх,76,0.7910970408989138
2018-01-01 21:35:00,2018-01-02 00:55:07,10,верх,184,1.1523262010857904
2018-01-02 01:07:22,2018-01-02 04:24:20,12,верх,353,0.5216203124963982
2018-01-02 01:07:22,2018-01-02 04:24:20,11,низ,55,0.677803609479576
2018-01-02 01:07:22,2018-01-02 04:24:20,11,верх,393,0.6686454388673274
2018-01-02 01:07:22,2018-01-02 04:24:20,10,низ,417,0.5486916264842501
2018-01-02 01:07:22,2018-01-02 04:24:20,12,низ,95,0.33725437947431147
2018-01-02 01:07:22,2018-01-02 04:24:20,9,низ,269,0.6192733444285186
2018-01-02 01:07:22,2018-01-02 04:24:20,9,верх,310,0.5363803197829938
2018-01-02 01:07:22,2018-01-02 04:24:20,8,низ,16,0.6664105076729981
2018-01-02 01:07:22,2018-01-02 04:24:20,8,верх,132,0.9896989415252002
2018-01-02 01:07:22,2018-01-02 04:24:20,10,верх,494,0.5913638479898979
2018-01-02 04:36:23,2018-01-02 08:07:07,12,низ,307,0.12874930907403886
2018-01-02 04:36:23,2018-01-02 08:07:07,12,верх,381,0.8292342921606317
2018-01-02 04:36:23,2018-01-02 08:07:07,11,низ,242,1.0365807897595731
2018-01-02 04:36:23,2018-01-02 08:07:07,11,верх,84,0.7530234540499816
2018-01-02 04:36:23,2018-01-02 08:07:07,10,низ,266,0.7605145459430821
2018-01-02 04:36:23,2018-01-02 08:07:07,10,верх,466,0.6976482128044279
2018-01-02 04:36:23,2018-01-02 08:07:07,9,верх,9,1.024325075447118
2018-01-02 04:36:23,2018-01-02 08:07:07,8,низ,464,0.9276895087994089
2018-01-02 04:36:23,2018-01-02 08:07:07,8,верх,388,0.8274782451032501
2018-01-02 04:36:23,2018-01-02 08:07:07,9,низ,105,1.3608677561835791
2018-01-02 08:19:26,2018-01-02 11:54:03,11,верх,486,1.3795661428792587
2018-01-02 08:19:26,2018-01-02 11:54:03,12,низ,430,0.7449695928614009
2018-01-02 08:19:26,2018-01-02 11:54:03,12,верх,239,0.6522395345862716
2018-01-02 08:19:26,2018-01-02 11:54:03,11,низ,12,0.61865682232568
2018-01-02 08:19:26,2018-01-02 11:54:03,10,низ,207,0.8152038892388501
2018-01-02 08:19:26,2018-01-02 11:54:03,8,низ,397,0.833794431297758
2018-01-02 08:19:26,2018-01-02 11:54:03,9,низ,266,0.9507974469516577
