id,iznos
0,1.5052056
1,1.4698751
2,1.6881403
3,1.7629318
4,1.7117437
5,1.8517549
6,1.8197939
7,1.8153197
8,1.8153197
9,1.7450545
10,1.3509306
11,1.6784806
12,1.6784806
13,1.7551341
14,1.6998543
15,1.7189815
16,1.6529056
17,1.6369045
18,1.6199784
19,1.3851304
20,1.3358986
21,1.5899616
22,1.299875
23,1.5956348
24,1.634743
25,1.6935704
26,1.7309806
27,1.6834227
28,1.689096
29,1.6436627
30,1.5616143
31,1.526558
32,1.9779779
33,1.8862789
34,1.9196966
35,2.013736
36,2.1449447
37,2.0082638
38,2.0082638
39,2.0238757
40,1.8412415
41,1.6016288
42,1.5374568
43,1.845193
44,1.9716238
45,1.9330106
46,1.9760888
47,1.8889365
48,1.9169068
49,1.8717706
50,1.720475
51,1.4611965
52,1.4630898
53,1.7077937
54,1.7484119
55,1.7733436
56,1.7778178
57,1.7778178
58,1.7733436
59,1.7610933
60,1.5115924
61,1.5115924
62,1.851558
63,1.8042613
64,1.8745344
65,2.0240095
66,2.075632
67,1.9207073
68,1.9293017
69,1.8579963
70,1.7062329
71,1.4664478
72,1.4917014
73,1.8062391
74,1.7525007
75,1.7951581
76,1.8193046
77,1.8138323
78,1.8345544
79,1.8006305
80,1.8908833
81,1.9235182
82,1.9000843
83,1.948595
84,1.8762853
85,1.8278944
86,1.9152696
87,1.5183342
88,1.5183342
89,1.8661497
90,1.7005043
91,2.053762
92,1.7919464
93,2.053762
94,2.124803
95,2.1401029
96,2.1401029
97,2.2941093
98,2.1356287
99,2.064979
100,1.5407207
101,1.5407207
102,1.7238907
103,1.7077403
104,1.741653
105,1.8169631
106,1.8152045
107,1.91798
108,1.8097322
109,1.801466
110,1.7442591
111,1.5013406
112,1.4831989
113,1.7234375
114,1.7879488
115,1.7879488
116,1.8574946
117,1.8407078
118,1.8153831
119,1.8153831
120,1.3378326
121,1.3803396
122,1.7550962
123,1.7250767
124,1.8865368
125,1.9536117
126,1.8053752
127,1.8389755
128,1.8009008
129,1.7683718
130,1.7967608
131,1.5606585
132,1.4791483
133,1.8015975
134,1.8820646
135,1.9952604
136,2.0907135
137,1.9290544
138,1.92458
139,1.92458
140,1.5734819
141,1.5734819
142,1.8747001
143,1.8490882
144,1.9071012
145,1.8926401
146,1.9183304
147,2.0614934
148,1.913856
149,1.8987213
150,1.4950974
151,1.8955574
152,1.8955574
153,1.9346666
154,1.469779
155,2.026626
156,1.8927132
157,1.9181526
158,1.8882388
159,1.9346666
160,1.3849542
161,1.4273893
162,1.6345334
163,1.6305705
164,1.6053841
165,1.640709
166,1.6744113
167,1.7113812
168,1.7499254
169,1.7061541
170,1.5884259
171,1.9185681
172,2.0608137
173,2.1140108
174,1.6723192
175,2.2328913
176,2.1602356
177,2.082931
178,2.0761294
179,1.9836013
180,1.6816511
181,1.9726661
182,1.9726661
183,2.0844464
184,1.6384642
185,2.1143441
186,2.1143441
187,2.114709
188,2.087104
189,2.023604
190,1.5453458
191,1.5453458
192,1.8804675
193,2.041351
194,2.094439
195,1.9325624
196,2.08368
197,2.0030675
198,2.1854093
199,2.005623
200,1.8688931
201,1.5430964
202,1.8688931
203,1.9202895
204,1.5673844
205,1.971034
206,1.9971509
207,2.0276682
208,2.080755
209,2.045385
210,1.6328051
211,1.663906
212,1.9093614
213,1.9860084
214,1.9637214
215,1.9637214
216,2.0181985
217,2.0181985
218,2.0604715
219,2.0166998
220,1.5702758
221,1.5038108
222,1.854006
223,1.8173236
